conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,opened_at,full_text_formal,full_text_formal_stop,full_text_formal_stop_stanza,full_text_formal_stop_stem,sentiment_result,sentiment,sentiment_score
1854304742266261899,Wed Nov 06 23:27:56 +0000 2024,0,hari ketiga p kelas dengan tema bhinneka tunggal ika rabu november,1854304742266261899,https://pbs.twimg.com/ext_tw_video_thumb/1854304671797743616/pu/img/AlednlAN0kyZtLvq.jpg,,in,,0,0,0,https://x.com/Smpn8_Yogya/status/1854304742266261899,1695671284343111680,Smpn8_Yogya,2024-12-06 16:30:44.672336,hari ketiga p kelas dengan tema bhinneka tunggal ika rabu november,hari ketiga p kelas tema bhinneka tunggal ika rabu november,ketiga p kelas tema bhinneka tunggal ika rabu november,hari tiga p kelas tema bhinneka tunggal ika rabu november,"{'label': 'neutral', 'score': 0.9986181259155273}",neutral,0.9986181259155273
1854076188010160335,Wed Nov 06 08:19:49 +0000 2024,26,bukan cuma soal nabung literasi finansial ternyata penting bagi semua kalangan di seluruh lapisan masyarakat agar bisa mengatur keuangan dengan bijak.,1854076205143916608,https://pbs.twimg.com/media/GbsAeU3bMAAqDLB.jpg,educology_id,in,,0,0,4,https://x.com/educology_id/status/1854076205143916608,1112818225,educology_id,2024-12-06 16:30:44.672336,bukan cuma soal nabung literasi finansial ternyata penting bagi semua kalangan di seluruh lapisan masyarakat agar bisa mengatur keuangan dengan bijak.,bukan nabung literasi finansial kalangan lapisan masyarakat mengatur keuangan bijak.,nabung literasi finansial kalangan lapis masyarakat atur uang bijak .,bukan nabung literasi finansial kalang lapis masyarakat atur uang bijak,"{'label': 'neutral', 'score': 0.8109971284866333}",neutral,0.8109971284866333
1854076188010160335,Wed Nov 06 08:19:44 +0000 2024,31,kenali fakta dan miskonsepsi yang sering terjadi mengenai literasi finansial yuk!,1854076188010160335,https://pbs.twimg.com/media/GbsAdeDbkAANuKA.jpg,,in,,0,1,8,https://x.com/educology_id/status/1854076188010160335,1112818225,educology_id,2024-12-06 16:30:44.672336,kenali fakta dan miskonsepsi yang sering terjadi mengenai literasi finansial yuk!,kenali fakta miskonsepsi literasi finansial ,kenali fakta miskonsepsi literasi finansial,kenal fakta miskonsepsi literasi finansial,"{'label': 'neutral', 'score': 0.9948914051055908}",neutral,0.9948914051055908
1854037440480350465,Wed Nov 06 05:45:46 +0000 2024,0,special friends mari belajar pendidikan agama buddha dan nilai-nilainya!,1854037440480350465,https://pbs.twimg.com/ext_tw_video_thumb/1854036946047340545/pu/img/3po6eBnKk8jqVQqs.jpg,,in,Jakarta Timur,0,0,0,https://x.com/specialearn/status/1854037440480350465,1835703503886671872,specialearn,2024-12-06 16:30:44.672336,special friends mari belajar pendidikan agama buddha dan nilai-nilainya!,special friends mari belajar pendidikan agama buddha nilai-nilainya!,special friends mari belajar didik agama buddha nilai !,special friends mari ajar didik agama buddha nilai,"{'label': 'neutral', 'score': 0.6722043752670288}",neutral,0.6722043752670288
1853991569214586917,Wed Nov 06 02:43:30 +0000 2024,0,hari kedua p kelas dengan tema bhinneka tunggal ika senin november,1853991569214586917,https://pbs.twimg.com/ext_tw_video_thumb/1853991508363591680/pu/img/MOJOmwwLtlkQjBbv.jpg,,in,,0,0,0,https://x.com/Smpn8_Yogya/status/1853991569214586917,1695671284343111680,Smpn8_Yogya,2024-12-06 16:30:44.672336,hari kedua p kelas dengan tema bhinneka tunggal ika senin november,hari p kelas tema bhinneka tunggal ika senin november,p kelas tema bhinneka tunggal ika senin november,hari p kelas tema bhinneka tunggal ika senin november,"{'label': 'neutral', 'score': 0.9986035227775574}",neutral,0.9986035227775574
1853711417175904708,Tue Nov 05 08:10:16 +0000 2024,26,kita simak bersama yuk tanggapan para guru dan murid di smkn pengasih yogyakarta setelah mengimplementasikan kurikulum merdeka,1853711417175904708,https://pbs.twimg.com/ext_tw_video_thumb/1853711337157001216/pu/img/5AqZlRasAazHFx32.jpg,,in,,0,0,4,https://x.com/educology_id/status/1853711417175904708,1112818225,educology_id,2024-12-06 16:30:44.672336,kita simak bersama yuk tanggapan para guru dan murid di smkn pengasih yogyakarta setelah mengimplementasikan kurikulum merdeka,kita simak tanggapan guru murid smkn pengasih yogyakarta mengimplementasikan kurikulum merdeka,simak tanggap guru murid smkn asih yogyakarta implementasi,kita simak tanggap guru murid smkn asih yogyakarta implementasi kurikulum merdeka,"{'label': 'neutral', 'score': 0.9989308714866638}",neutral,0.9989308714866638
1853666048979189915,Tue Nov 05 05:10:00 +0000 2024,0,special friends hari ini kita pelajari pendidikan agama khonghucu!,1853666048979189915,https://pbs.twimg.com/ext_tw_video_thumb/1853665825972195329/pu/img/SNYhMp59K-GkTXy-.jpg,,in,Jakarta Timur,0,0,0,https://x.com/specialearn/status/1853666048979189915,1835703503886671872,specialearn,2024-12-06 16:30:44.672336,special friends hari ini kita pelajari pendidikan agama khonghucu!,special friends pelajari pendidikan agama khonghucu!,special friends pelajari didik agama khonghucu !,special friends ajar didik agama khonghucu,"{'label': 'negative', 'score': 0.9945427179336548}",negative,0.9945427179336548
1853414649586122857,Mon Nov 04 12:31:01 +0000 2024,0,hari pertama p kelas dengan tema bhinneka tunggal ika senin november,1853414649586122857,https://pbs.twimg.com/ext_tw_video_thumb/1853414582389534721/pu/img/C_N3-rhkQ7aqf7vy.jpg,,in,,0,0,0,https://x.com/Smpn8_Yogya/status/1853414649586122857,1695671284343111680,Smpn8_Yogya,2024-12-06 16:30:44.672336,hari pertama p kelas dengan tema bhinneka tunggal ika senin november,hari p kelas tema bhinneka tunggal ika senin november,p kelas tema bhinneka tunggal ika senin november,hari p kelas tema bhinneka tunggal ika senin november,"{'label': 'neutral', 'score': 0.9985051155090332}",neutral,0.9985051155090332
1853351017452036434,Mon Nov 04 08:18:10 +0000 2024,0,mendikdasmen abdul mu'ti mengungkapkan pemerintah tidak akan sanggup membiayai pendidikan nasional sendiri sehingga perlu kolaborasi dengan semua pihak untuk kemajuan nasional.,1853351017452036434,,,in,Jakarta,0,0,0,https://x.com/Media_Asuransi/status/1853351017452036434,1450957656,Media_Asuransi,2024-12-06 16:30:44.672336,mendikdasmen abdul mu'ti mengungkapkan pemerintah tidak akan sanggup membiayai pendidikan nasional sendiri sehingga perlu kolaborasi dengan semua pihak untuk kemajuan nasional.,mendikdasmen abdul mu'ti pemerintah sanggup membiayai pendidikan nasional kolaborasi kemajuan nasional.,mendikdasmen abdul mu'ti perintah sanggup biaya didik nasional kolaborasi maju nasional .,mendikdasmen abdul mu ti perintah sanggup biaya didik nasional kolaborasi maju nasional,"{'label': 'neutral', 'score': 0.998204231262207}",neutral,0.998204231262207
1853281309621399738,Mon Nov 04 03:41:11 +0000 2024,0,special friends mari membina nilai luhur dengan pendidikan kepercayaan!,1853281309621399738,https://pbs.twimg.com/ext_tw_video_thumb/1853281156827172864/pu/img/G3mnweSisdBqS9WB.jpg,,in,Jakarta Timur,0,0,0,https://x.com/specialearn/status/1853281309621399738,1835703503886671872,specialearn,2024-12-06 16:30:44.672336,special friends mari membina nilai luhur dengan pendidikan kepercayaan!,special friends mari membina nilai luhur pendidikan kepercayaan!,special friends mari bina nilai luhur didik percaya !,special friends mari bina nilai luhur didik percaya,"{'label': 'positive', 'score': 0.6085523366928101}",positive,0.6085523366928101
1852948992172437641,Sun Nov 03 05:40:40 +0000 2024,0,special friends tunjukkan kreativitas dalam prakarya!,1852948992172437641,https://pbs.twimg.com/ext_tw_video_thumb/1852948813746761728/pu/img/IzOGS6ZE0y8J0W3I.jpg,,in,Jakarta Timur,0,0,0,https://x.com/specialearn/status/1852948992172437641,1835703503886671872,specialearn,2024-12-06 16:30:44.672336,special friends tunjukkan kreativitas dalam prakarya!,special friends tunjukkan kreativitas prakarya!,special friends kreativitas prakarya !,special friends tunjuk kreativitas prakarya,"{'label': 'neutral', 'score': 0.9579790830612183}",neutral,0.9579790830612183
1852658415748976687,Sat Nov 02 10:26:01 +0000 2024,2,: kamu mengaku lulusan luar negeri kok perkalian saja enggak bisa? saya finlandia kelas jauh pak (alias ),1852658415748976687,,,in,shitposting & history trivia ,0,0,5,https://x.com/diazepam40mg/status/1852658415748976687,119217603,diazepam40mg,2024-12-06 16:30:44.672336,: kamu mengaku lulusan luar negeri kok perkalian saja enggak bisa? saya finlandia kelas jauh pak (alias ),: mengaku lulusan negeri perkalian finlandia kelas alias ),: kaku lulus negeri kali finlandia kelas alias ),aku lulus negeri kali finlandia kelas alias,"{'label': 'negative', 'score': 0.8311337232589722}",negative,0.8311337232589722
1851480561602478569,Sat Nov 02 08:02:38 +0000 2024,0,clue : video pergerakan lempengan tektonik bumi juta tahun lalu sampai dengan ke depan,1852622330151010537,https://pbs.twimg.com/media/GbXV9G4b0AAWzDE.jpg,sfkav2004,in,D33N33 🇮🇩 INTJ 5w4 ,0,1,0,https://x.com/sfkav2004/status/1852622330151010537,1642487806919593984,sfkav2004,2024-12-06 16:30:44.672336,clue : video pergerakan lempengan tektonik bumi juta tahun lalu sampai dengan ke depan,clue : video pergerakan lempengan tektonik bumi juta depan,clue : video gerak lempengan tektonik bumi juta,clue video gera lempeng tektonik bumi juta depan,"{'label': 'neutral', 'score': 0.9979310035705566}",neutral,0.9979310035705566
1852603708460433652,Sat Nov 02 06:48:38 +0000 2024,0,special friends pahami masyarakat lewat ilmu pengetahuan sosial!,1852603708460433652,https://pbs.twimg.com/ext_tw_video_thumb/1852603565132623872/pu/img/YZG39ShNb4GqT6ju.jpg,,in,Jakarta Timur,0,0,0,https://x.com/specialearn/status/1852603708460433652,1835703503886671872,specialearn,2024-12-06 16:30:44.672336,special friends pahami masyarakat lewat ilmu pengetahuan sosial!,special friends pahami masyarakat ilmu pengetahuan sosial!,special friends pahami masyarakat ilmu pengetahuan sosial !,special friends paham masyarakat ilmu tahu sosial,"{'label': 'neutral', 'score': 0.449397474527359}",neutral,0.449397474527359
1852329939221332390,Fri Nov 01 12:40:46 +0000 2024,0,webinar kombel gbb basa jawa prasaja narasumber: dra. sri subarsidah jumat november,1852329939221332390,https://pbs.twimg.com/ext_tw_video_thumb/1852329865019793408/pu/img/BF6Xu71iz1tHeXvp.jpg,,in,,0,0,0,https://x.com/Smpn8_Yogya/status/1852329939221332390,1695671284343111680,Smpn8_Yogya,2024-12-06 16:30:44.672336,webinar kombel gbb basa jawa prasaja narasumber: dra. sri subarsidah jumat november,webinar kombel gbb basa jawa prasaja narasumber: dra. sri subarsidah jumat november,webinar kombel gbb basa jawa prasaja narasumber : dra . sri subarsidah jumat november,webinar kombel gbb basa jawa prasaja narasumber dra sri subarsidah jumat november,"{'label': 'neutral', 'score': 0.9990550875663757}",neutral,0.9990550875663757
1852271950841995587,Fri Nov 01 08:50:21 +0000 2024,0,special friends belajar fenomena alam dengan ilmu pengetahuan alam!,1852271950841995587,https://pbs.twimg.com/ext_tw_video_thumb/1852271859745857536/pu/img/6vlQhfq8u995BXTS.jpg,,in,Jakarta Timur,0,0,0,https://x.com/specialearn/status/1852271950841995587,1835703503886671872,specialearn,2024-12-06 16:30:44.672336,special friends belajar fenomena alam dengan ilmu pengetahuan alam!,special friends belajar fenomena alam ilmu pengetahuan alam!,special friends belajar fenomena alam ilmu pengetahuan alam !,special friends ajar fenomena alam ilmu tahu alam,"{'label': 'positive', 'score': 0.976815938949585}",positive,0.976815938949585
1851976192867602577,Thu Oct 31 13:15:07 +0000 2024,0,semoga dengan guru yang sejahtera semakin meningkatnya kualitas &amp; kompetensi indonesia semangat bapak ibu guru. salam kompeten,1851976192867602577,https://pbs.twimg.com/media/GbOKiDLakAMqsyb.jpg,,in,,0,0,0,https://x.com/gurukompeten/status/1851976192867602577,1764133750995374081,gurukompeten,2024-12-06 16:30:44.672336,semoga dengan guru yang sejahtera semakin meningkatnya kualitas &amp; kompetensi indonesia semangat bapak ibu guru. salam kompeten,semoga guru sejahtera meningkatnya kualitas &amp; kompetensi indonesia semangat guru. salam kompeten,semoga guru sejahtera tingkat kualitas &amp ; kompetensi indonesia semangat guru . salam kompeten,moga guru sejahtera tingkat kualitas amp kompetensi indonesia semangat guru salam kompeten,"{'label': 'positive', 'score': 0.9782719016075134}",positive,0.9782719016075134
1851890330116964849,Thu Oct 31 07:33:55 +0000 2024,0,sul-sel pbm mapel ipas kamis oktober,1851890330116964849,https://pbs.twimg.com/media/GbM8cNpaIAAWcms.jpg,,in,,0,0,0,https://x.com/smkspepabriblk/status/1851890330116964849,1830575724430049280,smkspepabriblk,2024-12-06 16:30:44.672336,sul-sel pbm mapel ipas kamis oktober,sul-sel pbm mapel ipas kamis oktober,sul pbm mapel ipas kamis oktober,sul-sel pbm mapel ipas kamis oktober,"{'label': 'neutral', 'score': 0.9989781379699707}",neutral,0.9989781379699707
1851890268276166756,Thu Oct 31 07:33:41 +0000 2024,0,sul-sel sholat dzuhur kamis oktober,1851890268276166756,https://pbs.twimg.com/media/GbM8Yn9akAQubzL.jpg,,in,,0,0,0,https://x.com/smkspepabriblk/status/1851890268276166756,1830575724430049280,smkspepabriblk,2024-12-06 16:30:44.672336,sul-sel salatdzuhur kamis oktober,sul-sel salatdzuhur kamis oktober,sul salatdzuhur kamis oktober,sul-sel salatdzuhur kamis oktober,"{'label': 'neutral', 'score': 0.9960705041885376}",neutral,0.9960705041885376
1851890212995211275,Thu Oct 31 07:33:27 +0000 2024,0,sul-sel berwudhu for sholat dzuhur kamis oktober,1851890212995211275,https://pbs.twimg.com/media/GbM8VTLaoAASWee.jpg,,in,,0,0,0,https://x.com/smkspepabriblk/status/1851890212995211275,1830575724430049280,smkspepabriblk,2024-12-06 16:30:44.672336,sul-sel berwudhu for salatdzuhur kamis oktober,sul-sel berwudhu for salatdzuhur kamis oktober,sul berwudhu for salatdzuhur kamis oktober,sul-sel berwudhu for salatdzuhur kamis oktober,"{'label': 'neutral', 'score': 0.9971082806587219}",neutral,0.9971082806587219
1851890066895049124,Thu Oct 31 07:32:53 +0000 2024,0,sul-sel pbm mapel pai kelas xi kamis oktober,1851890066895049124,https://pbs.twimg.com/media/GbM8M3QakAMK6kz.jpg,,in,,0,0,0,https://x.com/smkspepabriblk/status/1851890066895049124,1830575724430049280,smkspepabriblk,2024-12-06 16:30:44.672336,sul-sel pbm mapel pai kelas xi kamis oktober,sul-sel pbm mapel pai kelas xi kamis oktober,sul pbm mapel pai kelas xi kamis oktober,sul-sel pbm mapel pai kelas xi kamis oktober,"{'label': 'neutral', 'score': 0.9988920092582703}",neutral,0.9988920092582703
1851889982585315729,Thu Oct 31 07:32:32 +0000 2024,0,sul-sel pbm mapel pai kelas kali kamis oktober,1851889982585315729,https://pbs.twimg.com/media/GbM8H-5aUAAQVo8.jpg,,in,,0,0,0,https://x.com/smkspepabriblk/status/1851889982585315729,1830575724430049280,smkspepabriblk,2024-12-06 16:30:44.672336,sul-sel pbm mapel pai kelas kali kamis oktober,sul-sel pbm mapel pai kelas kali kamis oktober,sul pbm mapel pai kelas kali kamis oktober,sul-sel pbm mapel pai kelas kali kamis oktober,"{'label': 'neutral', 'score': 0.9989342093467712}",neutral,0.9989342093467712
1851889886233792888,Thu Oct 31 07:32:09 +0000 2024,0,sul-sel literasi al-qur'an kamis oktober,1851889886233792888,https://pbs.twimg.com/media/GbM8CXmakAMtVjA.jpg,,in,,0,0,0,https://x.com/smkspepabriblk/status/1851889886233792888,1830575724430049280,smkspepabriblk,2024-12-06 16:30:44.672336,sul-sel literasi al-qur'an kamis oktober,sul-sel literasi al-qur'kamis oktober,sul literasi al kamis oktober,sul-sel literasi al-qur kamis oktober,"{'label': 'neutral', 'score': 0.9983028173446655}",neutral,0.9983028173446655
1851889774703054946,Thu Oct 31 07:31:43 +0000 2024,0,sul-sel berdoa kamis oktober,1851889774703054946,https://pbs.twimg.com/media/GbM773XaAAAYG_2.jpg,,in,,0,0,0,https://x.com/smkspepabriblk/status/1851889774703054946,1830575724430049280,smkspepabriblk,2024-12-06 16:30:44.672336,sul-sel berdoa kamis oktober,sul-sel berdoa kamis oktober,sul doa kamis oktober,sul-sel doa kamis oktober,"{'label': 'neutral', 'score': 0.99685138463974}",neutral,0.99685138463974
1851889531345342642,Thu Oct 31 07:30:45 +0000 2024,0,sul-sel peduli lingkungan kamis oktober,1851889531345342642,https://pbs.twimg.com/media/GbM7tunbcAA-z5A.jpg,,in,,0,0,0,https://x.com/smkspepabriblk/status/1851889531345342642,1830575724430049280,smkspepabriblk,2024-12-06 16:30:44.672336,sul-sel peduli lingkungan kamis oktober,sul-sel peduli lingkungan kamis oktober,sul peduli lingkung kamis oktober,sul-sel peduli lingkung kamis oktober,"{'label': 'neutral', 'score': 0.9970763921737671}",neutral,0.9970763921737671
1851835519422075331,Thu Oct 31 03:56:07 +0000 2024,0,special friends siap jadi ahli teknologi dengan informatika!,1851835519422075331,https://pbs.twimg.com/ext_tw_video_thumb/1851835332637134854/pu/img/OwjUuiEvXQhFnEah.jpg,,in,Jakarta Timur,0,0,0,https://x.com/specialearn/status/1851835519422075331,1835703503886671872,specialearn,2024-12-06 16:30:44.672336,special friends siap jadi ahli teknologi dengan informatika!,special friends ahli teknologi informatika!,special friends ahli teknologi informatika !,special friends ahli teknologi informatika,"{'label': 'neutral', 'score': 0.42759883403778076}",neutral,0.42759883403778076
1851480561602478569,Wed Oct 30 13:19:30 +0000 2024,0,clue no area pegunungan yang dikelilingi lautan,1851614909819388295,,sfkav2004,in,D33N33 🇮🇩 INTJ 5w4 ,0,1,0,https://x.com/sfkav2004/status/1851614909819388295,1642487806919593984,sfkav2004,2024-12-06 16:30:44.672336,clue no area pegunungan yang dikelilingi lautan,clue area pegunungan dikelilingi lautan,clue area pegunungan keliling laut,clue area gunung keliling laut,"{'label': 'neutral', 'score': 0.4457260072231293}",neutral,0.4457260072231293
1851544881241698416,Wed Oct 30 08:41:14 +0000 2024,0,sholat dzuhur berjama'ah rabu oktober,1851544881241698416,https://pbs.twimg.com/media/GbICQY3bgAAvCI2.jpg,,in,,0,0,0,https://x.com/smkspepabriblk/status/1851544881241698416,1830575724430049280,smkspepabriblk,2024-12-06 16:30:44.672336,sholat zuhurberjama'ah rabu oktober,sholat zuhurberjama'ah rabu oktober,sholat zuhurberjama 'ah rabu oktober,sholat zuhurberjama ah rabu oktober,"{'label': 'neutral', 'score': 0.9856451153755188}",neutral,0.9856451153755188
1851544873876566378,Wed Oct 30 08:41:12 +0000 2024,0,berdoa sebelum belajar rabu oktober,1851544873876566378,https://pbs.twimg.com/media/GbICP5tbEAA3UsO.jpg,,in,,0,0,0,https://x.com/smkspepabriblk/status/1851544873876566378,1830575724430049280,smkspepabriblk,2024-12-06 16:30:44.672336,berdoa sebelum belajar rabu oktober,berdoa belajar rabu oktober,doa belajar rabu oktober,doa ajar rabu oktober,"{'label': 'neutral', 'score': 0.9354288578033447}",neutral,0.9354288578033447
1851480561602478569,Wed Oct 30 04:25:39 +0000 2024,0,clue no. kearifan lokal desain rumah adat indonesia,1851480561602478569,https://pbs.twimg.com/media/GbHHwMybUAARpR3.jpg,,in,D33N33 🇮🇩 INTJ 5w4 ,0,1,0,https://x.com/sfkav2004/status/1851480561602478569,1642487806919593984,sfkav2004,2024-12-06 16:30:44.672336,clue no. kearifan lokal desain rumah adat indonesia,clue kearifan lokal desain rumah adat indonesia,clue arif lokal desain rumah adat indonesia,clue arif lokal desain rumah adat indonesia,"{'label': 'neutral', 'score': 0.9932764768600464}",neutral,0.9932764768600464
1851470615133536457,Wed Oct 30 03:46:07 +0000 2024,0,special friends hari ini kita belajar bahasa bali dari pulau dewata!,1851470615133536457,https://pbs.twimg.com/ext_tw_video_thumb/1851470424682676224/pu/img/0TlHNJG3dX7w2suo.jpg,,in,Jakarta Timur,0,0,0,https://x.com/specialearn/status/1851470615133536457,1835703503886671872,specialearn,2024-12-06 16:30:44.672336,special friends hari ini kita belajar bahasa bali dari pulau dewata!,special friends belajar bahasa bali pulau dewata!,special friends belajar bahasa bali pulau dewata !,special friends ajar bahasa bal pulau dewata,"{'label': 'neutral', 'score': 0.9743544459342957}",neutral,0.9743544459342957
